author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
Lincoln D. Stein,"How to Set Up and Maintain a World Wide Web Site: The Guide for Information Providers
",,,,,,,,,,
John Allen Paulos,"A Mathematician Reads The Newspaper
",5.5 x 0.75 x 8.5 inches,0465043623,978-0465043620,English,224 pages,"April 6, 1995",Basic Books,,,
David Brin,"Brightness Reef (Bantam Spectra Book)
",6.75 x 1.5 x 9.75 inches,0553100343,978-0553100341,English,514 pages,"September 1, 1995",Spectra,,,
Clifford Stoll,"Silicon Snake Oil: Second Thoughts on the Information Highway
",6.5 x 1 x 9.5 inches,0385419937,978-0385419932,English,247 pages,"March 1, 1995",Doubleday,,,
Joan Lowery Nixon,"The Dark and Deadly Pool (Laurel-Leaf Suspense Fiction)
",4.22 x 0.55 x 6.86 inches,0440203481,978-0440203483,English,192 pages,"May 1, 1989",Laurel Leaf,710L,12 - 14 years,
Nicholas Negroponte,"Being Digital
",,,,,,,,,,
,"Learning the UNIX Operating System (Nutshell Handbooks)
",,,,,,,,,,
Edward Rothstein,"Emblems of Mind: The Inner Life of Music and Mathematics
",6.75 x 1.25 x 9.5 inches,0812925602,978-0812925609,English,,"May 2, 1995",Crown,,,
Douglas R. Hofstadter,"Fluid Concepts And Creative Analogies: Computer Models Of The Fundamental Mechanisms Of Thought
",,,,,,,,,,
,"The Bold Vegetarian: 150 Inspired International Recipes
",7.38 x 0.84 x 9.25 inches,0060950560,978-0060950569,English,304 pages,"March 1, 1995",Morrow Cookbooks,,,
Bruce Bendinger,"Copy Workshop Workbook: Second Edition
",,,,,,,,,,
Bill Gates,"The Road Ahead (Book & CD)
",6.5 x 1.25 x 9.5 inches,0670772895,978-0670772896,English,286 pages,"January 1, 1995",Viking Pr,,,
Jonathan Weiner,"The Beak of the Finch: A Story of Evolution in Our Time
",5.19 x 0.68 x 7.97 inches,067973337X,978-0679733379,English,332 pages,"May 30, 1995",Vintage,,,
Neal Stephenson,"The Diamond Age, or, A Young Lady's Illustrated Primer
",6.25 x 1.5 x 9.25 inches,0553096095,978-0553096095,English,455 pages,"January 1, 1995",Spectra,,,
,"Gödel, Escher, Bach: An Eternal Golden Braid
",6.5 x 1.25 x 9.5 inches,0394756827,978-0394756820,English,777 pages,"May 14, 1989",Vintage,1150L,,
David Brin,"Sundiver (The Uplift Saga, Book 1)
",4.23 x 0.87 x 6.83 inches,0553269828,978-0553269826,English,352 pages,"January 1, 1985",Spectra,890L,,
Oliver Sacks,"An Anthropologist On Mars: Seven Paradoxical Tales
",6.25 x 1.75 x 8.75 inches,0679437851,978-0679437857,English,327 pages,"February 7, 1995",Knopf,,,
Steven Pinker,"The Language Instinct: How the Mind Creates Language
",1.25 x 5.5 x 8.25 inches,0060976519,978-0060976514,English,496 pages,"February 1, 1995",Perennial,,,
Scott Adams,"It's Obvious You Won't Survive By Your Wits Alone (Volume 6)
",9 x 0.7 x 11.4 inches,9780836204155,978-0836204155,English,224 pages,"August 1, 1995",Andrews McMeel Publishing,,,
Bruce Schneier,"Applied Cryptography: Protocols, Algorithms, and Source Code in C
",,,,,,,,,,
David Brin,"The Uplift War (The Uplift Saga, Book 3)
",4.23 x 1.69 x 6.84 inches,0553279718,978-0553279719,English,656 pages,"August 1, 1995",Spectra,,,
Michael Crichton,"The Lost World
",6.56 x 1.5 x 9.54 inches,9780679419464,978-0679419464,English,393 pages,"September 17, 1995",Knopf,,,
Steve Maguire,"Debugging the Development Process: Practical Strategies for Staying Focused, Hitting Ship Dates, and Building Solid Teams
",7.41 x 0.69 x 9.25 inches,1556156502,978-1556156502,English,183 pages,"August 1, 1994",Microsoft Press,,,
Daniel Goleman,"Emotional Intelligence: Why It Can Matter More than IQ
",6.3 x 1.7 x 9.4 inches,9780553095036,978-0553095036,English,368 pages,"September 1, 1995",Bantam,,,
Connie Willis,"Doomsday Book
",4.18 x 1.23 x 6.82 inches,0553562738,978-0553562736,English,592 pages,"August 1, 1993",Spectra,,,
David Brin,"Startide Rising (The Uplift Saga, Book 2)
",4.2 x 1.23 x 6.89 inches,055327418X,978-0553274189,English,480 pages,"March 1, 1984",Spectra,910L,,
,"HIGH TRAIL TO DANGER (A Bantam Starfire Book)
",4.25 x 0.5 x 7.25 inches,0553296027,978-0553296020,English,,"September 1, 1992",Starfire,,12 - 15 years,7 - 9
Sun Tzu,"The Art of War (Pocket Edition) (Shambhala Pocket Classics)
",3.01 x 0.36 x 4.49 inches,0877735379,978-0877735373,English,114 pages,"May 7, 1991",Shambhala,,,
,"Communities Directory: A Guide to Cooperative Living :1995 (Communities Directory: A Guide to Intentional Communities & Cooperative Living)
",,,,,,,,,,
,"The Age of Innocence
",10 x 1 x 10.5 inches,1854103040,978-1854103048,English,220 pages,"February 1, 1992",Aurum Press,,,
